R,G,B,H,S,L,Brightness,Target
23.847429575974605,23.448820651082148,30.763560577146038,254.90612800657638,,18.299848545285126,26.217808319315374,Bad
0.0,0.0,0.0,188.91231538760562,24.24774630404986,20.811066020010543,1.4409146007061713,Bad
20.671852612875206,21.062482966992857,6.699714423304535,282.6633461014849,7.280728504951048,15.296322368059487,30.236151304948102,Bad
9.433903956274046,8.585722076139461,24.062658787664965,35.161961042298195,12.85586096034029,14.810364221551062,13.977164751085182,Bad
45.172789213437284,42.93356329831898,49.12155696919978,238.5080223674335,11.003812343490033,3.050955871119471,47.89631185585098,Bad
31.730577296014186,12.822113477877004,7.080024771159206,97.68565143860253,13.00170052944527,13.667756983581992,21.819775326258767,Bad
,58.18009206435761,61.236348713160794,262.4425804947554,8.918833167339733,7.023362742184519,58.01162564063505,Bad
57.44462757812699,44.670836607572234,42.34432473341578,117.06599592962894,1.8511162933522591,8.961643213606814,53.9889242680162,Bad
45.12524565080522,55.61291843864495,53.83923774004649,202.05979112501865,15.938936783880328,22.180318564408164,51.072432483664485,Bad
51.36586977199581,37.78700606082924,62.39942682013748,183.085448819293,,13.068320734549852,53.96770259681927,Bad
67.02047436904918,57.461747314220645,55.314673590939684,,6.232305728721873,10.259573075890744,63.529653174826514,Bad
69.50954897289323,80.08304134975927,68.11995295380984,322.59286797245755,20.203009489110425,15.835093912760586,65.07883566398012,Bad
25.70938464047205,2.0771508730935473,32.084090787615914,79.95881176946288,2.751298113191919,5.698379063548542,22.26024324803047,Bad
0.0,0.03470177915894723,23.504857250424507,,8.4403792850907,23.57274259781298,8.390575713357796,Bad
52.082789679737594,63.03212829926616,57.68255866828937,180.96444836239013,6.294557395634104,12.431212647309636,67.37131064594779,Bad
0.0,4.128176191298695,,87.13989774414014,6.9661616059152855,22.706647149166344,3.603512587499255,Bad
56.88050629098981,57.092402160444905,56.96360663658206,192.87888626691304,19.04049038321794,5.940938599809992,47.0494883184115,Bad
23.589202828554683,14.944752129602264,11.197915703875463,81.53847907125767,20.88256238973095,8.019501624293396,6.320283903808582,Bad
46.655462639839534,44.38219241870402,39.409712670181676,40.85046764661207,,17.273443452561647,45.16209532866149,Bad
75.21233794743964,83.58672157826373,95.339483496786,87.0668247241626,21.933483834524527,6.44854069287889,,Bad
11.224259069130357,12.310954650638829,0.0,322.95969358292774,22.430393948833167,22.51045142908326,6.517193746412945,Bad
71.70150537181897,64.9758211659673,51.058942122460195,249.08227116936956,19.496888646440595,16.050791153857194,62.09604969855821,Bad
30.577110510657093,49.581164641170325,54.56528626590141,305.72042777790404,5.606732736513995,17.8044805336884,45.637288165182035,Bad
